Humidity,Temperature,Light Intensity Level,CO Level,cluster_ID,cluster_label
93.7,31.8,150.0,1.93,0,0
93.9,31.7,150.0,1.92,0,0
94.3,31.7,148.0,1.92,0,0
94.3,31.7,151.0,1.93,0,0
94.2,31.7,149.0,1.93,0,0
94.0,31.7,155.0,1.94,0,0
94.0,31.7,159.0,1.95,0,0
94.4,31.7,157.0,1.98,0,0
94.2,31.7,155.0,2.03,0,0
94.0,31.7,151.0,2.04,0,0
93.7,31.7,150.0,2.04,0,0
93.8,31.7,146.0,2.04,0,0
94.1,31.7,143.0,2.04,0,0
94.3,31.7,148.0,2.05,0,0
94.0,31.7,147.0,2.06,0,0
94.0,31.7,147.0,2.04,0,0
93.8,31.7,151.0,2.05,0,0
94.2,31.7,156.0,2.05,0,0
94.3,31.7,154.0,2.06,0,0
94.4,31.7,153.0,2.06,0,0
94.5,31.7,155.0,2.05,0,0
94.4,31.7,156.0,2.15,0,0
94.7,31.7,155.0,2.02,0,0
94.8,31.7,155.0,1.97,0,0
94.2,31.7,154.0,2.08,0,0
93.7,31.7,157.0,2.09,0,0
93.7,31.7,158.0,2.11,0,0
93.5,31.7,159.0,2.08,0,0
93.6,31.8,160.0,2.07,0,0
93.7,31.8,149.0,2.1,0,0
93.9,31.9,166.0,2.07,0,0
95.3,32.2,158.0,2.06,0,0
94.1,32.6,162.0,2.08,0,0
94.4,33.0,166.0,2.08,0,0
94.6,33.6,166.0,2.13,0,0
92.7,34.4,169.0,2.08,0,0
92.7,35.3,171.0,2.07,0,0
93.5,36.3,184.0,1.92,0,0
93.6,37.5,186.0,2.06,1,0
91.0,39.0,191.0,1.99,1,0
90.2,40.6,196.0,2.01,1,1
89.5,42.6,201.0,2.04,1,1
72.2,44.5,194.0,2.04,1,1
68.3,46.4,184.0,2.05,1,1
60.9,48.0,191.0,2.06,1,1
63.7,49.7,185.0,2.08,1,1
61.5,51.3,191.0,2.08,1,1
55.3,53.0,194.0,2.09,1,1
54.5,54.7,192.0,2.11,1,1
50.1,56.5,193.0,2.07,1,1
48.0,58.4,196.0,2.12,1,1
46.8,60.1,193.0,2.12,1,1
44.3,61.9,186.0,2.13,1,1
42.6,63.4,184.0,2.14,1,1
40.2,64.8,187.0,2.14,1,1
40.7,66.2,191.0,2.15,1,1
39.1,67.5,192.0,2.16,1,1
37.6,68.8,190.0,2.16,1,1
37.5,70.0,191.0,2.16,1,1
36.3,71.2,186.0,2.18,1,1
34.9,72.5,185.0,2.19,1,1
33.9,73.6,183.0,2.2,1,1
33.6,74.5,186.0,2.2,1,1
33.0,75.5,184.0,2.19,1,1
32.6,76.5,183.0,2.2,1,1
31.8,77.5,187.0,2.2,1,1
31.3,78.6,187.0,2.2,1,1
31.3,79.5,189.0,2.22,1,1
30.4,80.4,189.0,2.22,1,1
30.2,81.4,189.0,2.2,1,1
30.0,82.3,198.0,2.16,1,1
29.8,83.7,190.0,2.16,1,1
29.7,84.8,179.0,2.17,1,1
29.4,85.9,178.0,2.17,1,1
29.1,86.8,179.0,2.17,1,1
28.6,87.7,188.0,2.17,1,1
28.2,88.6,197.0,2.19,1,1
27.7,89.6,195.0,2.21,1,1
27.2,90.2,198.0,2.22,1,1
27.0,90.9,205.0,2.24,1,1
26.6,91.6,210.0,2.23,1,1
26.5,92.3,193.0,2.21,1,1
26.1,92.7,193.0,2.17,1,1
25.9,93.0,199.0,2.18,1,1
25.7,93.4,195.0,2.25,1,1
25.5,93.0,213.0,2.13,1,1
25.3,92.2,218.0,2.11,1,1
25.1,91.5,221.0,1.5,1,1
25.2,90.4,221.0,1.55,1,1
24.9,90.0,225.0,1.59,1,1
24.6,89.7,222.0,1.75,1,1
24.5,89.4,234.0,1.7,1,1
24.8,89.5,218.0,1.68,1,1
24.8,89.1,201.0,1.65,1,1
24.8,89.1,205.0,1.56,1,1
24.7,88.7,190.0,1.4,1,1
25.0,88.8,226.0,1.35,1,1
24.5,87.8,232.0,1.0,1,1
24.9,87.2,259.0,1.16,1,1
24.0,85.7,265.0,1.2,1,1
23.8,84.1,260.0,0.68,1,1
27.1,83.8,264.0,0.89,1,1
25.0,84.5,224.0,0.83,1,1
25.3,83.9,268.0,0.57,1,1
28.3,83.7,255.0,0.79,1,1
25.7,83.3,244.0,0.9,1,1
25.6,82.8,250.0,0.94,1,1
26.6,82.3,247.0,0.79,1,1
27.4,82.1,242.0,0.82,1,1
26.3,81.9,242.0,0.94,1,1
25.6,81.3,257.0,1.05,1,1
25.5,80.9,235.0,1.09,1,1
25.3,80.2,239.0,1.17,1,1
25.4,79.8,263.0,1.19,1,1
25.4,79.1,254.0,1.22,1,1
25.3,78.3,267.0,1.1,1,1
25.6,78.0,268.0,1.1,1,1
25.7,77.4,269.0,0.77,1,1
27.7,77.2,276.0,0.79,1,1
27.9,76.9,283.0,0.82,1,1
27.3,76.9,274.0,0.94,1,1
26.6,76.7,274.0,1.04,1,1
26.6,76.5,254.0,1.1,1,1
26.7,76.1,277.0,1.03,1,1
27.8,75.9,281.0,0.68,1,1
29.3,75.3,249.0,0.76,1,1
27.8,75.1,252.0,0.86,1,1
27.4,74.7,258.0,0.91,1,1
27.3,74.5,254.0,0.97,1,1
27.3,74.2,252.0,1.02,1,1
27.4,73.8,258.0,1.06,1,1
27.8,73.8,263.0,1.09,1,1
27.9,74.0,258.0,1.12,1,1
27.8,74.2,255.0,1.15,1,1
27.9,74.2,253.0,1.15,1,1
27.8,74.0,252.0,0.96,1,1
29.6,74.0,259.0,1.07,1,1
27.4,72.8,259.0,1.07,1,1
28.5,71.7,250.0,0.94,1,1
28.4,72.2,258.0,1.07,1,1
27.7,72.2,243.0,1.15,1,1
27.5,72.2,245.0,0.95,1,1
28.4,71.6,241.0,0.9,1,1
28.5,70.9,240.0,0.9,1,1
29.0,70.4,233.0,0.98,1,1
28.6,70.5,240.0,1.08,1,1
27.9,70.3,243.0,1.12,1,1
27.8,69.9,239.0,1.17,1,1
28.0,69.6,225.0,1.25,1,1
28.1,69.3,230.0,1.07,1,1
29.0,68.9,234.0,0.95,1,1
29.6,68.6,227.0,0.95,1,1
29.4,68.3,230.0,1.02,1,1
28.7,67.9,219.0,1.11,1,1
28.5,67.4,215.0,1.14,1,1
28.5,67.0,222.0,1.11,1,1
28.8,66.7,245.0,1.2,1,1
28.9,66.3,242.0,1.2,1,1
29.0,66.0,245.0,1.2,1,1
28.9,65.6,250.0,1.23,1,1
29.1,65.3,248.0,1.27,1,1
29.2,65.0,242.0,1.27,1,1
29.4,64.6,221.0,1.07,1,1
31.1,64.0,221.0,0.8,1,1
34.2,63.7,220.0,0.77,1,1
31.8,63.4,222.0,0.79,1,1
32.6,63.1,237.0,0.86,1,1
32.1,62.9,230.0,0.87,1,1
32.0,62.6,248.0,0.97,1,1
31.0,62.4,251.0,1.04,1,1
30.7,62.0,230.0,1.09,1,1
30.9,61.6,239.0,1.12,1,1
31.1,61.6,230.0,1.14,1,1
31.4,61.5,240.0,1.17,1,1
31.7,61.5,270.0,1.19,1,1
31.8,61.5,253.0,1.22,1,1
32.2,61.5,301.0,1.23,1,1
32.3,62.2,298.0,1.23,1,1
32.5,62.8,300.0,1.24,1,1
32.5,63.5,292.0,1.25,1,1
32.9,64.1,295.0,1.22,1,1
33.2,64.8,289.0,1.27,1,1
33.1,65.3,261.0,1.29,1,1
32.5,65.7,220.0,1.11,1,1
33.6,66.0,248.0,0.79,1,1
35.6,66.4,252.0,0.81,1,1
34.5,66.7,254.0,0.71,1,1
37.4,67.5,255.0,0.78,1,1
34.9,68.3,244.0,0.74,1,1
35.7,68.8,254.0,0.74,1,1
31.5,69.0,256.0,0.67,1,1
33.9,68.9,273.0,0.77,1,1
33.1,68.4,261.0,0.69,1,1
33.9,68.6,269.0,0.53,1,1
35.0,68.7,257.0,0.58,1,1
33.1,68.7,230.0,0.73,1,1
31.2,68.8,245.0,0.79,1,1
30.0,68.8,243.0,0.89,1,1
29.8,68.8,252.0,0.88,1,1
29.6,68.8,257.0,0.9,1,1
29.5,68.8,228.0,0.95,1,1
29.5,68.8,226.0,1.0,1,1
31.6,68.8,247.0,0.73,1,1
31.9,68.7,258.0,0.71,1,1
31.6,68.7,251.0,0.82,1,1
29.7,68.3,250.0,0.83,1,1
29.0,68.2,251.0,0.81,1,1
29.3,67.9,267.0,0.92,1,1
28.6,67.6,265.0,0.86,1,1
30.2,67.4,255.0,0.75,1,1
31.0,67.3,265.0,0.87,1,1
30.1,67.0,252.0,0.77,1,1
30.6,66.7,256.0,0.78,1,1
30.0,66.4,255.0,1.07,1,1
29.6,66.3,253.0,1.17,1,1
29.4,66.2,249.0,1.24,1,1
29.4,66.0,251.0,1.23,1,1
29.6,65.9,254.0,1.13,1,1
30.6,65.8,245.0,1.11,1,1
29.5,64.9,245.0,0.95,1,1
31.1,64.5,241.0,1.13,1,1
29.5,64.3,252.0,1.1,1,1
29.5,64.0,259.0,0.88,1,1
31.6,63.8,245.0,0.92,1,1
31.2,63.5,239.0,1.04,1,1
30.6,63.4,241.0,1.16,1,1
30.4,63.2,243.0,1.21,1,1
30.8,63.0,242.0,1.22,1,1
31.1,62.8,242.0,1.27,1,1
30.8,62.7,242.0,1.33,1,1
30.7,62.6,237.0,1.18,1,1
32.3,62.2,236.0,1.12,1,1
31.4,61.5,243.0,1.2,1,1
30.7,60.8,247.0,1.12,1,1
31.5,60.3,222.0,0.96,1,1
32.9,60.2,214.0,0.98,1,1
33.3,60.1,240.0,0.86,1,1
34.3,60.0,239.0,0.88,1,1
34.5,59.9,227.0,0.97,1,1
33.6,59.6,257.0,0.98,1,1
33.9,59.3,252.0,0.9,1,1
34.4,59.1,259.0,1.05,1,1
33.2,58.9,254.0,1.08,1,1
33.1,58.7,224.0,1.21,1,1
33.1,58.6,224.0,1.19,1,1
33.2,58.3,214.0,1.28,1,1
33.6,58.3,208.0,1.33,1,1
33.9,57.9,210.0,1.25,1,1
35.6,57.6,213.0,1.31,1,1
34.0,57.0,229.0,1.38,1,1
33.8,56.8,224.0,1.41,1,1
33.8,56.7,221.0,1.49,1,1
